Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,Comments
12/21/2020,Rest,0:54:41,1:09:37,0:14:56,2,,
12/21/2020,Rest,1:15:45,1:58:53,0:43:08,2,,
12/21/2020,Recumbent,1:58:53,2:03:14,0:04:21,2,,
12/21/2020,Rest,2:07:32,3:16:08,1:08:36,4,,
12/21/2020,Rest,3:19:12,3:44:47,0:25:35,4,,
12/21/2020,Rest,3:50:24,4:05:02,0:14:38,2,,
12/21/2020,Rest,4:55:34,4:57:03,0:01:29,4,,
12/22/2020,Rest,20:00:00,20:02:17,0:02:17,E,,
12/22/2020,Rest,20:38:08,20:52:09,0:14:01,E,,
12/22/2020,Rest,21:03:01,21:09:44,0:06:43,E,,
12/22/2020,Rest,22:23:10,22:58:36,0:35:26,E,,
12/22/2020,Recumbent,22:58:36,0:02:44,1:04:08,E,,
12/22/2020,Rest,0:39:31,1:03:00,0:23:29,E,,
12/22/2020,Recumbent,1:03:00,4:24:22,3:21:22,E,,
12/22/2020,Rest,4:29:24,4:41:21,0:11:57,E,,
12/22/2020,Rest,5:43:04,5:47:14,0:04:10,E,P,
12/22/2020,Rest,5:51:29,5:54:40,0:03:11,E,P,
12/23/2020,Rest,1:25:02,2:26:16,1:01:14,4,,"poor quality, couldnt get to sleep"
12/23/2020,Rest,2:30:05,4:45:24,2:15:19,4,,
12/23/2020,Rest,4:59:49,5:04:14,0:04:25,4,P,
12/24/2020,Rest,23:14:33,23:24:41,0:10:08,E,R,
12/24/2020,Rest,23:29:32,23:31:22,0:01:50,E,,
12/24/2020,Rest,23:37:42,23:45:09,0:07:27,E,,
12/24/2020,Recumbent,23:45:09,0:03:07,0:17:58,E,,
12/24/2020,Rest,0:52:20,1:18:08,0:25:48,E,,
12/24/2020,Recumbent,1:18:08,3:22:47,2:04:39,E,,
12/24/2020,Rest,3:27:19,4:02:53,0:35:34,E,,
12/24/2020,Rest,4:04:29,4:24:37,0:20:08,E,,
12/24/2020,Recumbent,4:24:37,5:12:05,0:47:28,E,,
12/25/2020,Rest,0:22:10,1:03:55,0:41:45,E,,
12/25/2020,Rest,1:12:57,1:26:10,0:13:13,E,,
12/25/2020,Recumbent,1:26:10,3:00:56,1:34:46,E,,
12/25/2020,Rest,3:02:14,3:24:44,0:22:30,E,,
12/25/2020,Recumbent,3:24:44,4:54:29,1:29:45,E,,
12/26/2020,Recumbent,23:57:21,1:36:22,1:39:01,4,R,
12/26/2020,Rest,1:37:46,1:52:01,0:14:15,4,R,
12/26/2020,Recumbent,2:24:28,3:28:28,1:04:00,4,R,s
12/27/2020,Rest,20:31:16,21:39:22,1:08:06,E,,
12/27/2020,Recumbent,21:39:22,22:03:05,0:23:43,E,,
12/27/2020,Rest,23:22:54,23:30:44,0:07:50,E,,
12/27/2020,Recumbent,23:30:44,0:03:02,0:32:18,E,,
12/27/2020,Rest,1:26:43,1:42:00,0:15:17,E,,
12/27/2020,Recumbent,1:42:00,4:26:59,2:44:59,E,,
12/27/2020,Rest,4:28:39,4:59:09,0:30:30,E,,
12/28/2020,Rest,23:04:20,23:08:37,0:04:17,E,P,
12/28/2020,Rest,23:36:47,23:58:39,0:21:52,E,,
12/28/2020,Recumbent,23:58:39,0:02:54,0:04:15,E,,
12/28/2020,Rest,0:41:12,0:44:27,0:03:15,E,,
12/28/2020,Recumbent,0:44:27,3:15:16,2:30:49,E,,
12/28/2020,Rest,3:21:40,3:36:45,0:15:05,E,,
12/28/2020,Recumbent,3:36:45,4:55:18,1:18:33,E,,
12/29/2020,Rest,1:34:10,1:36:17,0:02:07,4,,
12/29/2020,Rest,1:47:42,2:15:14,0:27:32,1,RW,
12/29/2020,Rest,1:19:18,2:43:35,1:24:17,4,,
12/29/2020,Recumbent,2:49:25,3:29:46,0:40:21,4,,
12/29/2020,Rest,3:46:06,4:45:06,0:59:00,1,RW,
12/29/2020,Recumbent,4:45:18,5:20:31,0:35:13,1,,
12/30/2020,Rest,23:40:01,23:49:30,0:09:29,4,P,
12/30/2020,Rest,1:07:03,2:51:39,1:44:36,4,,
12/30/2020,Recumbent,2:51:39,4:45:27,1:53:48,4,,
12/30/2020,Rest,4:45:27,4:52:43,0:07:16,4,,
12/31/2020,Rest,0:34:13,1:45:43,1:11:30,4,,
12/31/2020,Rest,1:52:56,2:00:10,0:07:14,2,,
12/31/2020,Rest,2:01:57,2:07:28,0:05:31,4,,
12/31/2020,Rest,2:08:26,2:51:52,0:43:26,2,,
12/31/2020,Rest,2:55:33,3:28:04,0:32:31,4,,
12/31/2020,Rest,4:00:07,4:29:25,0:29:18,2,,
1/1/2021,Rest,20:50:06,22:58:31,2:08:25,1,,
1/1/2021,Rest,23:01:35,23:40:14,0:38:39,E,P,
1/1/2021,Recumbent,23:40:14,23:55:34,0:15:20,E,,
1/1/2021,Recumbent,01:02:51,3:08:16,2:05:25,E,,waited for P
1/1/2021,Rest,3:11:23,3:54:28,0:43:05,E,R,
1/1/2021,Recumbent,3:54:28,4:28:41,0:34:13,E,R,
1/1/2021,Rest,4:28:41,4:35:05,0:06:24,E,,
1/4/2021,Rest,22:57:17,0:03:27,1:06:10,E,,
1/4/2021,Rest,1:05:24,1:39:01,0:33:37,E,,
1/4/2021,Recumbent,1:39:01,3:39:02,2:00:01,E,,waited for P
1/4/2021,Rest,3:42:43,4:41:43,0:59:00,E,R,
1/4/2021,Recumbent,4:41:43,4:48:28,0:06:45,E,R,
1/5/2021,Rest,22:22:51,23:01:38,0:38:47,E,,
1/5/2021,Recumbent,23:01:38,23:13:47,0:12:09,E,,waited for P
1/5/2021,Rest,0:47:12,1:36:41,0:49:29,E,,
1/5/2021,Recumbent,1:36:41,3:59:48,2:23:07,E,,waited for P
1/5/2021,Rest,4:09:50,4:35:23,0:25:33,E,,
1/6/2021,Rest,21:25:30,21:28:17,0:02:47,E,,
1/6/2021,Rest,23:10:46,23:26:19,0:15:33,E,,
1/6/2021,Recumbent,23:26:19,0:02:26,0:36:07,E,,
1/6/2021,Rest,0:33:24,1:30:54,0:57:30,E,,
1/6/2021,Recumbent,1:30:54,3:14:32,1:43:38,E,,waited for P
1/6/2021,Rest,3:14:32,3:28:48,0:14:16,E,,
1/6/2021,Recumbent,3:28:48,4:53:20,1:24:32,E,,
