Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,
12/21/2020,Rest,20:50:45,21:08:32,0:17:47,5,B,
12/21/2020,Rest,1:08:32,1:51:26,0:42:54,5,,
12/21/2020,Rest,1:52:33,4:54:12,3:01:39,5,,
12/22/2020,Rest,21:02:27,21:05:35,0:03:08,E,,
12/22/2020,Rest,21:15:22,21:35:45,0:20:23,E,,
12/22/2020,Recumbent,21:35:45,22:13:08,0:37:23,E,,
12/22/2020,Rest,23:24:07,23:31:47,0:07:40,E,,
12/22/2020,Rest,23:40:54,23:49:08,0:08:14,E,,Gape
12/22/2020,Recumbent,23:49:08,0:02:44,0:13:36,E,,
12/22/2020,Rest,0:46:13,0:55:08,0:08:55,E,,
12/22/2020,Recumbent,0:55:08,2:12:11,1:17:03,E,,
12/22/2020,Rest,2:12:11,2:36:39,0:24:28,E,,
12/22/2020,Recumbent,2:37:30,4:04:37,1:27:07,E,,
12/22/2020,Rest,4:08:02,4:42:52,0:34:50,E,,
12/22/2020,Rest,4:39:29,4:46:38,0:07:09,E,,
12/22/2020,Rest,5:44:20,5:47:14,0:02:54,E,B,
12/22/2020,Rest,5:50:48,5:54:22,0:03:34,E,B,
12/23/2020,Rest,21:47:39,22:02:05,0:14:26,C,,
12/23/2020,Rest,2:28:17,4:51:54,2:23:37,5,,
12/24/2020,Rest,20:00:00,20:02:33,0:02:33,E,,
12/24/2020,Rest,23:02:36,23:08:48,0:06:12,E,BR,
12/24/2020,Rest,23:14:00,23:23:07,0:09:07,E,,
12/24/2020,Recumbent,23:23:07,0:17:08,0:54:01,E,,
12/24/2020,Rest,1:21:51,1:24:07,0:02:16,E,,
12/24/2020,Rest,1:31:28,1:43:55,0:12:27,E,,
12/24/2020,Recumbent,1:43:55,3:23:16,1:39:21,E,,
12/24/2020,Rest,3:25:35,4:02:06,0:36:31,E,,
12/24/2020,Recumbent,4:05:09,4:31:28,0:26:19,E,,
12/25/2020,Rest,21:13:16,21:23:02,0:09:46,E,,
12/25/2020,Rest,22:40:33,22:44:55,0:04:22,E,,
12/25/2020,Rest,22:49:19,22:53:28,0:04:09,E,,
12/25/2020,Recumbent,22:53:28,23:40:19,0:46:51,E,,
12/25/2020,Recumbent,1:22:09,3:40:32,2:18:23,E,,
12/25/2020,Rest,3:02:28,3:10:18,0:07:50,E,,
12/25/2020,Recumbent,3:10:18,4:56:42,1:46:24,E,,
12/26/2020,Rest,23:12:13,23:19:59,0:07:46,E,,
12/26/2020,Recumbent,23:19:59,0:02:54,0:42:55,E,,
12/26/2020,Rest,0:51:10,1:05:18,0:14:08,E,,
12/26/2020,Recumbent,1:32:05,2:35:49,1:03:44,E,,
12/26/2020,Rest,2:37:44,2:50:41,0:12:57,E,,
12/26/2020,Recumbent,2:50:41,3:49:05,0:58:24,E,,
12/27/2020,Rest,21:25:21,21:29:30,0:04:09,E,,
12/27/2020,Rest,21:36:11,21:37:55,0:01:44,E,,
12/27/2020,Recumbent,21:37:55,22:18:12,0:40:17,E,,
12/27/2020,Recumbent,23:29:43,0:03:05,0:33:22,E,,
12/27/2020,Rest,1:16:21,1:22:50,0:06:29,E,,
12/27/2020,Recumbent,1:22:50,3:01:03,1:38:13,E,,
12/27/2020,Recumbent,3:04:58,5:02:26,1:57:28,E,,
12/28/2020,Rest,23:07:05,23:14:19,0:07:14,E,B,
12/28/2020,Rest,23:29:03,23:36:55,0:07:52,E,B,
12/28/2020,Recumbent,23:36:55,1:08:15,1:31:20,E,,
12/28/2020,Rest,1:12:14,1:30:38,0:18:24,E,,
12/28/2020,Recumbent,1:30:38,3:11:22,1:40:44,E,,
12/28/2020,Rest,3:16:06,3:32:44,0:16:38,E,,
12/28/2020,Recumbent,3:32:44,4:59:06,1:26:22,E,,
12/29/2020,Rest,21:05:06,21:19:13,0:14:07,E,B,
12/29/2020,Rest,21:22:20,21:53:20,0:31:00,E,,
12/29/2020,Rest,0:19:07,0:23:19,0:04:12,E,,
12/29/2020,Rest,0:30:18,0:35:04,0:04:46,E,,
12/29/2020,Recumbent,0:35:04,1:24:17,0:49:13,E,,
12/29/2020,Rest,1:27:06,1:29:45,0:02:39,E,,
12/29/2020,Recumbent,1:29:45,2:38:32,1:08:47,E,,
12/29/2020,Rest,1:43:30,3:05:06,1:21:36,E,,
12/29/2020,Rest,3:50:14,4:09:40,0:19:26,E,,
12/30/2020,Rest,22:26:47,23:53:17,1:26:30,5,,
12/30/2020,Rest,0:54:22,4:49:26,3:55:04,5,,
12/31/2020,Rest,20:00:00,20:02:14,0:02:14,c,,
12/31/2020,Rest,23:18:27,0:01:23,0:42:56,5,,
12/31/2020,Rest,0:16:31,0:18:43,0:02:12,5,,
12/31/2020,Rest,0:47:45,3:29:11,2:41:26,5,,
1/1/2021,Rest,0:56:17,1:02:00,0:05:43,E,,
1/1/2021,Recumbent,01:02:40,2:11:28,1:08:48,E,,
1/1/2021,Rest,2:18:17,3:01:06,0:42:49,E,,
1/1/2021,Recumbent,3:03:34,4:25:22,1:21:48,E,,
1/4/2021,Rest,21:25:55,21:39:12,0:13:17,E,,
1/4/2021,Rest,23:43:50,23:53:49,0:09:59,E,,
1/4/2021,Recumbent,23:53:49,0:03:33,0:09:44,E,,
1/4/2021,Rest,1:06:04,1:37:21,0:31:17,E,,
1/4/2021,Recumbent,1:37:21,3:08:57,1:31:36,E,,
1/4/2021,Rest,3:12:02,3:38:33,0:26:31,E,,
1/4/2021,Recumbent,3:39:24,4:50:11,1:10:47,E,,
1/5/2021,Rest,21:29:32,21:49:34,0:20:02,E,,
1/5/2021,Rest,22:55:28,23:00:46,0:05:18,E,,
1/5/2021,Recumbent,23:00:46,23:39:11,0:38:25,E,,
