Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,Elephant Access
12/21/2020,Rest,23:28:43,0:00:07,0:31:24,E,,
12/21/2020,Rest,0:54:05,1:03:17,0:09:12,E,K,
12/21/2020,Rest,1:11:40,1:20:34,0:08:54,E,,
12/21/2020,Rest,1:24:10,1:30:39,0:06:29,E,,
12/21/2020,Rest,1:35:26,1:58:19,0:22:53,E,,
12/21/2020,Rest,2:00:29,2:09:58,0:09:29,E,,
12/21/2020,Rest,2:22:18,2:27:46,0:05:28,E,,
12/21/2020,Rest,2:47:04,2:55:52,0:08:48,E,,
12/21/2020,Rest,2:58:30,3:38:28,0:39:58,E,K,
12/21/2020,Rest,3:42:19,4:34:42,0:52:23,E,K,
12/21/2020,Rest,4:36:17,6:00:00,1:23:43,E,K,
12/22/2020,Rest,22:44:21,22:51:06,0:06:45,4,,
12/22/2020,Recumbent,22:52:14,0:36:51,1:44:37,5,,
12/22/2020,Recumbent,0:38:52,2:39:50,2:00:58,5,,
12/22/2020,Recumbent,2:44:11,3:56:08,1:11:57,5,,
12/22/2020,Recumbent,4:03:03,4:57:17,0:54:14,4,,
12/23/2020,Rest,0:31:46,0:33:08,0:01:22,E,,
12/23/2020,Rest,0:34:54,0:37:25,0:02:31,E,,
12/23/2020,Rest,0:44:34,1:41:08,0:56:34,E,,
12/23/2020,Rest,1:51:17,1:53:50,0:02:33,E,,
12/23/2020,Rest,1:56:36,1:58:24,0:01:48,E,,
12/23/2020,Rest,2:07:15,2:51:29,0:44:14,E,,
12/23/2020,Rest,3:04:30,4:31:01,1:26:31,E,K,
12/23/2020,Rest,4:34:18,5:32:38,0:58:20,E,K,
12/24/2020,Rest,23:26:28,0:02:32,0:36:04,1,,
12/24/2020,Rest,0:03:18,0:15:52,0:12:34,1,,
12/24/2020,Rest,0:32:00,0:38:41,0:06:41,1,,
12/24/2020,Rest,0:53:26,1:09:19,0:15:53,1,,
12/24/2020,Rest,2:07:10,2:09:20,0:02:10,1,K,
12/24/2020,Rest,2:12:55,3:11:33,0:58:38,1,K,
12/24/2020,Rest,3:13:23,3:47:00,0:33:37,1,K,
12/24/2020,Rest,3:47:34,4:28:27,0:40:53,1,,
12/24/2020,Rest,4:29:20,5:11:04,0:41:44,1,K,
12/25/2020,Rest,20:00:00,20:02:37,0:02:37,E,,
12/25/2020,Rest,21:11:56,22:03:14,0:51:18,7,R,Fighting over vent
12/25/2020,Rest,22:11:38,22:22:40,0:11:02,7,,
12/25/2020,Rest,22:25:31,22:45:14,0:19:43,7,,
12/25/2020,Rest,22:48:40,22:51:23,0:02:43,7,R,
12/25/2020,Rest,22:58:07,23:01:21,0:03:14,7,R,
12/25/2020,Rest,23:07:14,23:14:38,0:07:24,7,R,
12/25/2020,Rest,23:16:04,23:20:11,0:04:07,7,R,
12/25/2020,Rest,23:28:55,23:38:51,0:09:56,7,R,
12/25/2020,Rest,23:40:18,23:47:24,0:07:06,7,R,
12/25/2020,Rest,0:35:48,0:37:47,0:01:59,7,R,
12/25/2020,Rest,0:41:24,1:00:03,0:18:39,7,R,
12/25/2020,Rest,1:08:06,2:02:44,0:54:38,7,R,
12/25/2020,Rest,2:04:25,3:01:47,0:57:22,7,R,
12/25/2020,Rest,3:02:52,4:47:36,1:44:44,7,R,
12/26/2020,Rest,22:49:39,22:54:48,0:05:09,E,,
12/26/2020,Rest,23:13:28,23:43:08,0:29:40,E,,
12/26/2020,Rest,23:44:24,0:02:04,0:17:40,E,,
12/26/2020,Rest,0:57:36,1:05:02,0:07:26,E,,
12/26/2020,Rest,1:09:00,1:35:30,0:26:30,E,,
12/26/2020,Rest,1:43:27,2:37:04,0:53:37,E,,
12/26/2020,Rest,2:40:19,5:07:41,2:27:22,E,,
12/27/2020,Rest,21:05:04,21:10:38,0:05:34,7,R,
12/27/2020,Rest,21:21:18,22:03:10,0:41:52,7,R,
12/27/2020,Rest,22:04:48,22:16:52,0:12:04,7,,interrupted by bozie :<
12/27/2020,Rest,23:26:58,0:19:54,0:52:56,7,R,waiting for other eles to finish eating after drop
12/27/2020,Rest,1:31:08,2:08:14,0:37:06,E,,
12/27/2020,Rest,2:16:51,5:13:06,2:56:15,7,R,
12/28/2020,Rest,0:46:47,1:12:01,0:25:14,4,,
12/28/2020,Recumbent,1:13:11,3:02:23,1:49:12,5,,
12/28/2020,Rest,3:17:50,3:26:58,0:09:08,4,,
12/28/2020,Recumbent,3:28:41,5:05:27,1:36:46,5,,stepped on by bozie:(
12/29/2020,Rest,21:04:44,21:14:38,0:09:54,1,R,
12/29/2020,Rest,22:20:25,22:22:19,0:01:54,1,R,
12/29/2020,Rest,22:38:22,23:22:39,0:44:17,1,R,
12/29/2020,Rest,23:34:19,23:46:20,0:12:01,4,B,bozie swaying
12/29/2020,Rest,0:20:45,0:43:10,0:22:25,1,R,
12/29/2020,Recumbent,0:43:10,0:52:10,0:09:00,1,R,
12/29/2020,Rest,1:04:03,1:34:32,0:30:29,1,R,
12/29/2020,Recumbent,1:34:32,1:42:41,0:08:09,1,R,
12/29/2020,Rest,1:45:07,2:33:29,0:48:22,1,BR,
12/29/2020,Recumbent,2:33:29,3:36:48,1:03:19,1,R,
12/29/2020,Rest,3:37:40,5:23:18,1:45:38,1,BR,
12/30/2020,Rest,21:40:06,21:56:52,0:16:46,E,,
12/30/2020,Rest,23:28:02,0:02:24,0:34:22,E,,
12/30/2020,Rest,0:46:16,0:52:05,0:05:49,E,,
12/30/2020,Recumbent,0:54:03,2:35:25,1:41:22,E,,
12/30/2020,Rest,3:03:47,3:24:50,0:21:03,E,K,
12/30/2020,Recumbent,3:29:40,4:46:04,1:16:24,E,,
12/30/2020,Rest,4:47:51,5:25:36,0:37:45,E,K,
12/31/2020,Rest,20:00:00,20:02:21,0:02:21,E,,
12/31/2020,Rest,21:27:56,22:02:26,0:34:30,E,,
12/31/2020,Rest,23:03:04,23:31:22,0:28:18,E,K,
12/31/2020,Rest,0:59:19,1:36:34,0:37:15,E,K,
12/31/2020,Rest,2:41:49,3:03:20,0:21:31,E,K,
12/31/2020,Rest,3:05:37,4:44:40,1:39:03,E,K,
12/31/2020,Rest,4:47:28,5:31:56,0:44:28,E,K,
1/1/2021,Rest,23:16:21,23:24:06,0:07:45,3,K,
1/1/2021,Rest,23:42:54,23:50:33,0:07:39,1,,
1/1/2021,Rest,0:05:28,0:10:10,0:04:42,1,K,
1/1/2021,Rest,0:12:18,0:21:07,0:08:49,4,,
1/1/2021,Rest,0:29:48,0:42:12,0:12:24,4,,
1/1/2021,Rest,0:48:32,1:17:55,0:29:23,4,,
1/1/2021,Rest,1:21:09,2:04:24,0:43:15,4,,
1/1/2021,Rest,2:28:19,2:42:28,0:14:09,4,,
