Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,Elephant Access
12/21/20,Rest,23:28:43,0:00:07,-0.9781944444,e,,
12/21/20,Rest,0:54:05,1:03:17,0.006388888889,E,K,
12/21/20,Rest,1:11:40,1:20:34,0.006180555556,E,,
12/21/20,Rest,1:24:10,1:30:39,0.004502314815,E,,
12/21/20,Rest,1:35:26,1:58:19,0.0158912037,E,,
12/21/20,Rest,2:00:29,2:09:58,0.006585648148,E,,
12/21/20,Rest,2:22:18,2:27:46,0.003796296296,E,,
12/21/20,Rest,2:47:04,2:55:52,0.006111111111,E,,
12/21/20,Rest,2:58:30,3:38:28,0.02775462963,E,K,
12/21/20,Rest,3:42:19,4:34:42,0.03637731481,E,K,
12/21/20,Rest,4:36:17,6:00:00,0.05813657407,E,K,
12/22/20,Rest,22:44:21,22:51:06,0.0046875,4,,
12/22/20,Recumbent,22:52:14,0:36:51,-0.927349537,5,,
12/22/20,Recumbent,0:38:52,2:39:50,0.08400462963,5,,
12/22/20,Recumbent,2:44:11,3:56:08,0.04996527778,5,,
12/22/20,Recumbent,4:03:03,4:57:17,0.03766203704,4,,
12/23/20,Rest,0:31:46,0:33:08,0.0009490740741,E,,
12/23/20,Rest,0:34:54,0:37:25,0.001747685185,E,,
12/23/20,Rest,0:44:34,1:41:08,0.03928240741,E,,
12/23/20,Rest,1:51:17,1:53:50,0.001770833333,E,,
12/23/20,Rest,1:56:36,1:58:24,0.00125,E,,
12/23/20,Rest,2:07:15,2:51:29,0.03071759259,E,,
12/23/20,Rest,3:04:30,4:31:01,0.06008101852,E,K,
12/23/20,Rest,4:34:18,5:32:38,0.04050925926,E,K,
12/24/20,Rest,23:26:28,0:02:32,-0.9749537037,1,,
12/24/20,Rest,0:03:18,0:15:52,0.008726851852,1,,
12/24/20,Rest,0:32:00,0:38:41,0.004641203704,1,,
12/24/20,Rest,0:53:26,1:09:19,0.01103009259,1,,
12/24/20,Rest,2:07:10,2:09:20,0.00150462963,1,K,
12/24/20,Rest,2:12:55,3:11:33,0.04071759259,1,K,
12/24/20,Rest,3:13:23,3:47:00,0.02334490741,1,K,
12/24/20,Rest,3:47:34,4:28:27,0.0283912037,1,,
12/24/20,Rest,4:29:20,5:11:04,0.02898148148,1,K,
12/25/20,Rest,20:00:00,20:02:37,0.00181712963,E,,
12/25/20,Rest,21:11:56,22:03:14,0.035625,7,R,Fighting over vent
12/25/20,Rest,22:11:38,22:22:40,0.007662037037,7,,
12/25/20,Rest,22:25:31,22:45:14,0.01369212963,7,,
12/25/20,Rest,22:48:40,22:51:23,0.001886574074,7,R,
12/25/20,Rest,22:58:07,23:01:21,0.00224537037,7,R,
12/25/20,Rest,23:07:14,23:14:38,0.005138888889,7,R,
12/25/20,Rest,23:16:04,23:20:11,0.002858796296,7,R,
12/25/20,Rest,23:28:55,23:38:51,0.006898148148,7,R,
12/25/20,Rest,23:40:18,23:47:24,0.004930555556,7,R,
12/25/20,Rest,0:35:48,0:37:47,0.001377314815,7,R,
12/25/20,Rest,0:41:24,1:00:03,0.01295138889,7,R,
12/25/20,Rest,1:08:06,2:02:44,0.03793981481,7,R,
12/25/20,Rest,2:04:25,3:01:47,0.03983796296,7,R,
12/25/20,Rest,3:02:52,4:47:36,0.07273148148,7,R,
12/26/20,Rest,22:49:39,22:54:48,0.003576388889,E,,
12/26/20,Rest,23:13:28,23:43:08,0.02060185185,E,,
12/26/20,Rest,23:44:24,0:02:04,-0.9877314815,E,,
12/26/20,Rest,0:57:36,1:05:02,0.005162037037,E,,
12/26/20,Rest,1:09:00,1:35:30,0.01840277778,E,,
12/26/20,Rest,1:43:27,2:37:04,0.0372337963,E,,
12/26/20,Rest,2:40:19,5:07:41,0.102337963,E,,
12/27/20,Rest,21:05:04,21:10:38,0.003865740741,7,R,
12/27/20,Rest,21:21:18,22:03:10,0.02907407407,7,R,
12/27/20,Rest,22:04:48,22:16:52,0.00837962963,7,,interrupted by bosie :<
12/27/20,Rest,23:26:58,0:19:54,-0.9632407407,7,R,waiting for other eles to finish eating after drop
12/27/20,Rest,1:31:08,2:08:14,0.02576388889,E,,
12/27/20,Rest,2:16:51,5:13:06,0.1223958333,7,R,
12/28/20,Rest,0:46:47,1:12:01,0.01752314815,4,,
12/28/20,Recumbent,1:13:11,3:02:23,0.07583333333,5,,
12/28/20,Rest,3:17:50,3:26:58,0.006342592593,4,,
12/28/20,Recumbent,3:28:41,5:05:27,0.06719907407,5,,stepped on by swarna :(
12/29/20,Rest,21:04:44,21:14:38,0.006875,1,R,
12/29/20,Rest,22:20:25,22:22:19,0.001319444444,1,R,
12/29/20,Rest,22:38:22,23:22:39,0.03075231481,1,R,
12/29/20,Rest,23:34:19,23:46:20,0.008344907407,4,B,bozie swaying
12/29/20,Rest,0:20:45,0:43:10,0.01556712963,1,R,
12/29/20,Recumbent,0:43:10,0:52:10,0.00625,1,R,
12/29/20,Rest,1:04:03,1:34:32,0.02116898148,1,R,
12/29/20,Recumbent,1:34:32,1:42:41,0.005659722222,1,R,
12/29/20,Rest,1:45:07,2:33:29,0.03358796296,1,BR,
12/29/20,Recumbent,2:33:29,3:36:48,0.04396990741,1,R,
12/29/20,Rest,3:37:40,5:23:18,0.07335648148,1,BR,
12/30/20,Rest,21:40:06,21:56:52,0.01164351852,E,,
12/30/20,Rest,23:28:02,0:02:24,-0.9761342593,E,,
12/30/20,Rest,0:46:16,0:52:05,0.004039351852,E,,
12/30/20,Recumbent,0:54:03,2:35:25,0.07039351852,E,,
12/30/20,Rest,3:03:47,3:24:50,0.01461805556,E,K,
12/30/20,Recumbent,3:29:40,4:46:04,0.05305555556,E,,
12/30/20,Rest,4:47:51,5:25:36,0.02621527778,E,K,
12/31/20,Rest,20:00:00,20:02:21,0.001631944444,E,,
12/31/20,Rest,21:27:56,22:02:26,0.02395833333,E,,
12/31/20,Rest,23:03:04,23:31:22,0.01965277778,E,K,
12/31/20,Rest,0:59:19,1:36:34,0.02586805556,E,K,
12/31/20,Rest,2:41:49,3:03:20,0.01494212963,E,K,
12/31/20,Rest,3:05:37,4:44:40,0.06878472222,E,K,
12/31/20,Rest,4:47:28,5:31:56,0.03087962963,E,K,
